City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Atuona,PF,-9.80,-139.03,77.76,79,16,4.81,few clouds
1,Mataura,NZ,-46.19,168.86,52.48,85,100,1.87,light rain
2,Barrow,US,71.29,-156.79,32.02,93,100,6.69,mist
3,Hermanus,ZA,-34.42,19.23,50.81,85,100,2.21,overcast clouds
4,Soyo,AO,-6.13,12.37,74.25,88,6,3.32,clear sky
5,Carnarvon,AU,-24.87,113.63,63.41,53,0,5.25,clear sky
6,Hobart,AU,-42.88,147.33,39.27,88,40,3.09,scattered clouds
7,Ouallam,NE,14.32,2.09,98.08,15,0,2.54,clear sky
8,Albany,US,42.60,-73.97,66.16,88,100,0.45,light rain
9,Port Alfred,ZA,-33.59,26.89,55.18,82,5,0.45,clear sky
10,Salto,UY,-31.38,-57.97,55.56,58,0,3.13,clear sky
11,Bengkulu,ID,-3.80,102.27,75.79,90,25,1.1,scattered clouds
12,Bredasdorp,ZA,-34.53,20.04,54.77,91,100,2.1,overcast clouds
13,Japura,ID,-0.32,102.35,74.80,95,34,0.66,scattered clouds
14,Kapaa,US,22.08,-159.32,75.11,91,100,6.69,overcast clouds
15,Castelnaudary,FR,43.32,1.95,79.29,66,1,5.36,clear sky
16,Punta Arenas,CL,-53.15,-70.92,39.31,75,20,6.17,few clouds
17,Port-Gentil,GA,-0.72,8.78,75.16,94,20,4.12,few clouds
18,Waipawa,NZ,-41.41,175.52,56.43,70,2,7.99,moderate rain
19,Paraisopolis,BR,-22.55,-45.78,73.92,70,100,1.16,overcast clouds
20,Rikitea,PF,-23.12,-134.97,76.82,82,86,10.9,light rain
21,Chuy,UY,-33.70,-53.46,52.57,53,100,2.88,light rain
22,Chapais,CA,49.78,-74.85,58.78,85,99,2.92,overcast clouds
23,Pevek,RU,69.70,170.31,44.37,68,100,5.85,overcast clouds
24,Ribeira Grande,PT,38.52,-28.70,64.80,82,20,6.69,few clouds
25,Hay River,CA,60.82,-115.80,66.16,29,20,3.6,few clouds
26,Ventersburg,ZA,-28.09,27.14,46.78,31,0,3.26,clear sky
27,Torbay,CA,47.67,-52.73,42.76,96,100,5.14,mist
28,Yellowknife,CA,62.46,-114.35,64.92,36,20,3.6,few clouds
29,Ilulissat,GL,69.22,-51.10,34.14,69,40,2.0,scattered clouds
30,Muzhi,RU,65.37,64.67,40.50,53,23,1.87,few clouds
31,Busselton,AU,-33.65,115.33,57.69,80,44,4.73,scattered clouds
32,Nuuk,GL,64.18,-51.72,47.88,42,0,5.81,clear sky
33,Jipijapa,EC,-1.33,-80.58,81.90,63,80,2.84,broken clouds
34,Iskateley,RU,67.68,53.15,45.52,57,100,3.65,overcast clouds
35,Hamilton,US,39.18,-84.53,90.63,55,40,5.66,scattered clouds
36,Dingle,PH,11.00,122.67,77.61,86,63,1.31,broken clouds
37,Puerto Ayora,EC,-0.74,-90.35,75.16,82,78,4.4,broken clouds
38,Vega De Alatorre,MX,20.03,-96.63,86.68,64,37,6.57,scattered clouds
39,Belaya Gora,RU,68.53,146.42,46.33,73,100,7.57,overcast clouds
40,Hilo,US,19.73,-155.09,86.29,75,20,2.68,few clouds
41,Upernavik,GL,72.79,-56.15,27.52,70,3,2.64,clear sky
