City_ID,City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,0,Kalmunai,LK,2022-05-24 20:17:31,7.4167,81.8167,299.36,82,100,3.16
1,1,Albany,US,2022-05-24 20:14:50,42.6001,-73.9662,296.5,45,55,2.25
2,2,Mataura,NZ,2022-05-24 20:17:31,-46.1927,168.8643,282.86,74,74,5.0
3,3,Elko,US,2022-05-24 20:17:32,41.0002,-115.5012,294.16,11,0,5.36
4,4,Carnarvon,AU,2022-05-24 20:17:32,-24.8667,113.6333,292.88,66,24,3.99
5,5,Port Alfred,ZA,2022-05-24 20:17:32,-33.5906,26.891,289.92,91,73,0.45
6,6,Berlevag,NO,2022-05-24 20:17:33,70.8578,29.0864,284.12,43,0,1.54
7,7,Tiksi,RU,2022-05-24 20:17:33,71.6872,128.8694,272.68,97,99,2.9
8,8,Avarua,CK,2022-05-24 20:17:33,-21.2078,-159.775,301.18,74,40,3.6
9,9,Puri,IN,2022-05-24 20:17:33,19.8,85.85,300.44,87,97,6.0
10,10,Butaritari,KI,2022-05-24 20:17:34,3.0707,172.7902,300.56,79,36,5.25
11,11,Catamarca,AR,2022-05-24 20:17:34,-28.4696,-65.7852,297.92,40,98,0.45
12,12,Nyurba,RU,2022-05-24 20:17:34,63.2842,118.3319,277.52,91,100,2.43
13,13,Ushuaia,AR,2022-05-24 20:13:29,-54.8,-68.3,275.96,65,20,12.86
14,14,Sola,VU,2022-05-24 20:17:35,-13.8833,167.55,299.89,79,100,10.28
15,15,Punta Arenas,CL,2022-05-24 20:17:35,-53.15,-70.9167,277.21,65,20,8.23
16,16,Thompson,CA,2022-05-24 20:17:35,55.7435,-97.8558,280.24,39,20,4.63
17,17,Kapaa,US,2022-05-24 20:17:36,22.0752,-159.319,299.33,80,100,6.17
18,18,Port Elizabeth,ZA,2022-05-24 20:17:36,-33.918,25.5701,291.54,88,75,3.6
19,19,Dalvik,IS,2022-05-24 20:17:36,65.9702,-18.5286,280.11,87,98,1.57
20,20,Saint George,US,2022-05-24 20:17:37,37.1041,-113.5841,302.48,11,0,3.58
21,21,Jamestown,US,2022-05-24 20:16:55,42.097,-79.2353,292.95,52,100,3.09
22,22,Jipijapa,EC,2022-05-24 20:17:37,-1.3333,-80.5833,298.87,70,97,1.9
23,23,Sao Joao Da Barra,BR,2022-05-24 20:17:37,-21.6403,-41.0511,296.2,72,84,4.66
24,24,Alenquer,BR,2022-05-24 20:17:38,-1.9417,-54.7383,302.25,66,46,2.54
25,25,Maubin,MM,2022-05-24 20:17:13,16.7333,95.65,297.85,91,100,1.2
26,26,Sur,OM,2022-05-24 20:17:38,22.5667,59.5289,304.41,54,0,6.56
27,27,Myitkyina,MM,2022-05-24 20:17:38,25.3833,97.4,297.28,89,7,0.28
28,28,Chuy,UY,2022-05-24 20:17:39,-33.6971,-53.4616,290.9,76,100,1.78
29,29,Atuona,PF,2022-05-24 20:15:16,-9.8,-139.0333,298.87,69,28,7.44
30,30,Polovinnoye,RU,2022-05-24 20:17:39,54.7914,65.9864,288.97,51,99,4.35
31,31,Busselton,AU,2022-05-24 20:17:39,-33.65,115.3333,289.47,71,100,2.7
32,32,Parrita,CR,2022-05-24 20:17:39,9.5201,-84.3225,297.64,93,100,1.99
33,33,Mitu,CO,2022-05-24 20:17:40,1.1983,-70.1733,299.69,90,84,1.35
34,34,Port Hawkesbury,CA,2022-05-24 20:15:41,45.6169,-61.3485,289.16,71,0,4.63
35,35,Tsuruga,JP,2022-05-24 20:17:40,35.6455,136.0558,291.28,93,22,3.26
36,36,Tasiilaq,GL,2022-05-24 20:17:40,65.6145,-37.6368,273.24,97,100,2.66
37,37,Severo-Kurilsk,RU,2022-05-24 20:17:41,50.6789,156.125,278.25,84,56,0.79
38,38,Diamantino,BR,2022-05-24 20:17:41,-14.4086,-56.4461,304.55,27,0,2.31
39,39,Naze,JP,2022-05-24 20:17:41,28.3667,129.4833,293.66,93,100,0.68
40,40,Viedma,AR,2022-05-24 20:17:42,-40.8135,-62.9967,285.89,38,65,7.33
41,41,Te Anau,NZ,2022-05-24 20:17:42,-45.4167,167.7167,281.99,84,100,1.16
42,42,Hamilton,US,2022-05-24 20:15:42,39.1834,-84.5333,298.14,56,40,5.14
43,43,Puerto Ayora,EC,2022-05-24 20:18:02,-0.7393,-90.3518,301.13,92,24,2.24
44,44,Vao,NC,2022-05-24 20:18:10,-22.6667,167.4833,296.5,78,100,7.98
45,45,Hobart,AU,2022-05-24 20:15:04,-42.8794,147.3294,277.19,95,1,3.6
46,46,Hovd,MN,2022-05-24 20:18:10,48.0056,91.6419,290.87,39,95,1.1
47,47,Malatya,TR,2022-05-24 20:18:10,38.5,38.0,283.18,54,0,4.63
48,48,Sol-Iletsk,RU,2022-05-24 20:18:11,51.1631,54.9918,284.62,97,100,5.66
49,49,Henties Bay,,2022-05-24 20:18:11,-22.116,14.2845,289.48,63,0,1.96
50,50,East London,ZA,2022-05-24 20:18:11,-33.0153,27.9116,291.0,78,91,3.97
51,51,Raymond,US,2022-05-24 20:16:52,43.9015,-70.4703,293.83,55,69,3.97
52,52,Vaini,TO,2022-05-24 20:18:12,-21.2,-175.2,299.24,83,20,1.54
53,53,Batagay-Alyta,RU,2022-05-24 20:18:12,67.8006,130.4114,272.73,97,100,7.39
54,54,Lavrentiya,RU,2022-05-24 20:18:12,65.5833,-171.0,276.42,89,77,2.12
55,55,Ust-Nera,RU,2022-05-24 20:18:12,64.5667,143.2,277.23,76,100,1.79
56,56,Samarai,PG,2022-05-24 20:18:13,-10.6167,150.6667,300.3,79,31,3.61
57,57,Talnakh,RU,2022-05-24 20:18:13,69.4865,88.3972,273.82,100,100,0.48
58,58,Huangchuan,CN,2022-05-24 20:18:13,32.1272,115.0394,294.72,68,0,2.61
59,59,Bartica,GY,2022-05-24 20:18:14,6.4,-58.6167,300.33,80,73,1.86
60,60,Ancud,CL,2022-05-24 20:18:14,-41.8697,-73.8203,282.16,79,55,2.85
61,61,Cabo San Lucas,MX,2022-05-24 20:14:55,22.8909,-109.9124,301.82,53,0,5.14
62,62,Iqaluit,CA,2022-05-24 20:18:14,63.7506,-68.5145,268.0,92,100,9.26
63,63,Cape Town,ZA,2022-05-24 20:14:16,-33.9258,18.4232,289.32,94,100,0.89
64,64,Vostok,RU,2022-05-24 20:18:15,46.4856,135.8833,284.94,99,100,0.87
65,65,Norman Wells,CA,2022-05-24 20:18:15,65.282,-126.8329,285.17,37,75,8.75
66,66,Nome,US,2022-05-24 20:18:15,64.5011,-165.4064,288.8,50,0,3.09
67,67,Jimo,CN,2022-05-24 20:18:16,36.3897,120.4622,292.03,94,20,4.0
68,68,Andijon,UZ,2022-05-24 20:18:16,40.7821,72.3442,290.75,56,0,2.75
69,69,Cabedelo,BR,2022-05-24 20:18:16,-6.9811,-34.8339,298.52,86,30,6.2
70,70,Yellowknife,CA,2022-05-24 20:18:17,62.456,-114.3525,283.46,34,75,7.2
71,71,Rikitea,PF,2022-05-24 20:18:17,-23.1203,-134.9692,297.71,73,73,3.79
72,72,Stornoway,GB,2022-05-24 20:14:51,58.2093,-6.3865,284.13,84,40,4.12
73,73,Nepa Nagar,IN,2022-05-24 20:18:17,21.4667,76.4,304.32,48,0,4.3
74,74,Sept-Iles,CA,2022-05-24 20:18:18,50.2001,-66.3821,288.44,38,20,8.23
75,75,Bereda,ES,2022-05-24 20:18:18,43.2686,-7.5406,284.03,98,66,0.87
76,76,West Bay,KY,2022-05-24 20:18:18,19.3667,-81.4167,303.19,66,20,5.14
77,77,Bilma,NE,2022-05-24 20:18:18,18.6853,12.9164,304.96,10,1,0.65
78,78,Leningradskiy,RU,2022-05-24 20:18:19,69.3833,178.4167,279.61,71,70,3.58
79,79,Balykshi,KZ,2022-05-24 20:18:19,47.0667,51.8667,285.15,87,100,3.0
80,80,Cherskiy,RU,2022-05-24 20:18:19,68.75,161.3,278.6,77,97,4.31
81,81,Saucillo,MX,2022-05-24 20:18:20,28.0167,-105.2833,306.3,6,5,6.01
82,82,Llangefni,GB,2022-05-24 20:18:20,53.2556,-4.3106,286.33,77,100,7.2
83,83,Camana,PE,2022-05-24 20:18:20,-16.6228,-72.7111,292.25,73,44,3.3
84,84,Arkhara,RU,2022-05-24 20:18:21,49.4212,130.0842,278.73,92,100,1.82
85,85,Mao,ES,2022-05-24 20:18:21,39.8885,4.2658,293.46,77,75,6.69
86,86,Bluff,NZ,2022-05-24 20:18:21,-46.6,168.3333,283.04,61,56,11.98
87,87,Batemans Bay,AU,2022-05-24 20:18:22,-35.7167,150.1833,285.98,91,5,1.85
88,88,Meulaboh,ID,2022-05-24 20:18:22,4.1363,96.1285,298.78,85,100,0.85
89,89,Khatanga,RU,2022-05-24 20:18:42,71.9667,102.5,272.66,84,100,1.2
90,90,Kodiak,US,2022-05-24 20:18:42,57.79,-152.4072,281.88,81,100,3.6
91,91,Gimli,CA,2022-05-24 20:18:43,50.6336,-96.9907,292.16,34,5,3.6
92,92,Sabha,LY,2022-05-24 20:18:43,27.0377,14.4283,304.45,13,53,4.39
93,93,Tuktoyaktuk,CA,2022-05-24 20:18:43,69.4541,-133.0374,282.15,37,75,7.2
